"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","geobacillus_cnambio1","Geobacillus_thermodenitrificans_thermodenitrificans_DSM_465","Geobacillus_thermodenitrificans_KCTC3902","Geobacillus_thermodenitrificans_K1041","Geobacillus_thermodenitrificans_ID-1","Geobacillus_thermodenitrificans_OS27","Geobacillus_thermodenitrificans_NG80-2","Geobacillus_thermodenitrificans_JSC_T9a","Geobacillus_thermodenitrificans_T12"
"HLMLLCKC_02477","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","155","155","155.0","","","","","","HLMLLCKC_02477","","",""
"HLMLLCKC_02541","persistent","Cadmium-transporting ATPase","8","10","1.25","NA","NA","","","","2126","2138","2128.4","","KGENGAEB_03222","IJIGFOAD_01097","AHOIKHHK_01031","FDKLAMFJ_01293" "FDKLAMFJ_02818","HLMLLCKC_02541","MEBKDNAM_00708","NCBEONCI_01347","FLBMOKII_00800" "FLBMOKII_02900"
"HLMLLCKC_02573","persistent","N-acetyl-gamma-glutamyl-phosphate reductase","8","8","1.0","NA","NA","","","","1034","1034","1034.0","","KGENGAEB_02485","IJIGFOAD_01065","AHOIKHHK_00999","FDKLAMFJ_01260","HLMLLCKC_02573","MEBKDNAM_00742","NCBEONCI_01315","FLBMOKII_00832"
"HLMLLCKC_02605","persistent","Oligoendopeptidase F%2C plasmid","8","8","1.0","NA","NA","","","","1823","1823","1823.0","","KGENGAEB_02517","IJIGFOAD_01033","AHOIKHHK_00967","FDKLAMFJ_01228","HLMLLCKC_02605","MEBKDNAM_00774","NCBEONCI_01283","FLBMOKII_00864"
"HLMLLCKC_02637","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","356","356","356.0","","KGENGAEB_02548","IJIGFOAD_01002","AHOIKHHK_00936","FDKLAMFJ_01197","HLMLLCKC_02637","MEBKDNAM_00805","NCBEONCI_01252","FLBMOKII_00895"
"HLMLLCKC_02670","persistent","Peroxide operon regulator","8","8","1.0","NA","NA","","","","446","446","446.0","","KGENGAEB_02998","IJIGFOAD_01273","AHOIKHHK_03279","FDKLAMFJ_01472","HLMLLCKC_02670","MEBKDNAM_00534","NCBEONCI_01515","FLBMOKII_00624"
"HLMLLCKC_02702","persistent","hypothetical protein","6","6","1.0","NA","NA","","","","560","560","560.0","","KGENGAEB_03373","IJIGFOAD_01336","AHOIKHHK_00284","","HLMLLCKC_02702","MEBKDNAM_00471","","FLBMOKII_00541"
"HLMLLCKC_02781","persistent","NADH-quinone oxidoreductase subunit K","8","8","1.0","NA","NA","","","","305","305","305.0","","KGENGAEB_01706","IJIGFOAD_01966","AHOIKHHK_02116","FDKLAMFJ_02210","HLMLLCKC_02781","MEBKDNAM_03443","NCBEONCI_02803","FLBMOKII_03488"
"HLMLLCKC_02813","persistent","Transcription termination factor Rho","8","8","1.0","NA","NA","","","","1274","1274","1274.0","","KGENGAEB_01674","IJIGFOAD_01934","AHOIKHHK_02084","FDKLAMFJ_02178","HLMLLCKC_02813","MEBKDNAM_03475","NCBEONCI_02988","FLBMOKII_03520"
"HLMLLCKC_02845","persistent","Octanoyl-[GcvH]:protein N-octanoyltransferase","8","8","1.0","NA","NA","","","","860","860","860.0","","KGENGAEB_01642","IJIGFOAD_01902","AHOIKHHK_02052","FDKLAMFJ_02146","HLMLLCKC_02845","MEBKDNAM_03508","NCBEONCI_03020","FLBMOKII_03554"
"HLMLLCKC_02916","persistent","Arginase","8","8","1.0","NA","NA","","","","899","899","899.0","","KGENGAEB_02653","IJIGFOAD_01654","AHOIKHHK_02982","FDKLAMFJ_01896","HLMLLCKC_02916","MEBKDNAM_00173","NCBEONCI_03517","FLBMOKII_00178"
"HLMLLCKC_03108","shell","hypothetical protein","4","9","2.25","NA","NA","","","","1436","1436","1436.0","","","","AHOIKHHK_00523","FDKLAMFJ_02425" "FDKLAMFJ_00068" "FDKLAMFJ_03444" "FDKLAMFJ_00566" "FDKLAMFJ_02805","HLMLLCKC_03108","","","FLBMOKII_02144" "FLBMOKII_03436"
"HLMLLCKC_03180","persistent","putative protein kinase UbiB","8","8","1.0","NA","NA","","","","1676","1676","1676.0","","KGENGAEB_01992","IJIGFOAD_00121","AHOIKHHK_01415","FDKLAMFJ_00250","HLMLLCKC_03180","MEBKDNAM_01741","NCBEONCI_02314","FLBMOKII_01832"
"HLMLLCKC_03212","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","485","485","485.0","","","","","","HLMLLCKC_03212","","",""
"HLMLLCKC_03248","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","149","149","149.0","","KGENGAEB_03163","IJIGFOAD_02270","AHOIKHHK_02763","FDKLAMFJ_02556","HLMLLCKC_03248","MEBKDNAM_03109","NCBEONCI_03316","FLBMOKII_03133"
"HLMLLCKC_03280","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","263","263","263.0","","KGENGAEB_02049","IJIGFOAD_02239","AHOIKHHK_00706","FDKLAMFJ_02524","HLMLLCKC_03280","MEBKDNAM_03141","NCBEONCI_03120","FLBMOKII_03165"
"HLMLLCKC_03314","persistent","ATP phosphoribosyltransferase","8","8","1.0","NA","NA","","","","623","623","623.0","","KGENGAEB_02086","IJIGFOAD_02203","AHOIKHHK_00672","FDKLAMFJ_02490","HLMLLCKC_03314","MEBKDNAM_03175","NCBEONCI_03154","FLBMOKII_03199"
"HLMLLCKC_03346","cloud","hypothetical protein","2","2","1.0","NA","NA","","","","1637","1637","1637.0","","","","AHOIKHHK_02701","","HLMLLCKC_03346","","",""
"HLMLLCKC_03378","persistent","Trans-2-decenoyl-[acyl-carrier-protein] isomerase","8","8","1.0","NA","NA","","","","764","764","764.0","","KGENGAEB_01821","IJIGFOAD_03455","AHOIKHHK_03287","FDKLAMFJ_00062","HLMLLCKC_03378","MEBKDNAM_01924","NCBEONCI_02501","FLBMOKII_02057"
"HLMLLCKC_03442","persistent","D-beta-hydroxybutyrate dehydrogenase","8","9","1.12","NA","NA","","","","434","776","738.0","","KGENGAEB_02896","IJIGFOAD_03401","AHOIKHHK_03346","FDKLAMFJ_03696" "FDKLAMFJ_00001","HLMLLCKC_03442","MEBKDNAM_01979","NCBEONCI_01815","FLBMOKII_02112"
"MEBKDNAM_00006","persistent","DNA gyrase subunit A","8","8","1.0","NA","NA","","","","2468","2468","2468.0","","KGENGAEB_01559","IJIGFOAD_01819","AHOIKHHK_01801","FDKLAMFJ_02062","HLMLLCKC_01593","MEBKDNAM_00006","NCBEONCI_03103","FLBMOKII_00006"
"MEBKDNAM_00042","persistent","Sporulation-specific protease YabG","8","8","1.0","NA","NA","","","","899","899","899.0","","KGENGAEB_03132","IJIGFOAD_01784","AHOIKHHK_02457","FDKLAMFJ_02026","HLMLLCKC_01943","MEBKDNAM_00042","NCBEONCI_01658","FLBMOKII_00044"
"MEBKDNAM_00076","persistent","D-alanine aminotransferase","8","8","1.0","NA","NA","","","","884","884","884.0","","KGENGAEB_03288","IJIGFOAD_01750","AHOIKHHK_01876","FDKLAMFJ_01992","HLMLLCKC_02000","MEBKDNAM_00076","NCBEONCI_01692","FLBMOKII_00079"
"MEBKDNAM_00116","persistent","DNA-directed RNA polymerase subunit beta'","8","8","1.0","NA","NA","","","","3599","3599","3599.0","","KGENGAEB_03047","IJIGFOAD_01710","AHOIKHHK_00753","FDKLAMFJ_01952","HLMLLCKC_01667","MEBKDNAM_00116","NCBEONCI_01619","FLBMOKII_00120"
"MEBKDNAM_00148","persistent","30S ribosomal protein S13","8","8","1.0","NA","NA","","","","365","365","365.0","","KGENGAEB_03015","IJIGFOAD_01678","AHOIKHHK_00785","FDKLAMFJ_01920","HLMLLCKC_02047","MEBKDNAM_00148","NCBEONCI_01587","FLBMOKII_00152"
"MEBKDNAM_00219","persistent","Beta-glucoside kinase","8","8","1.0","NA","NA","","","","929","929","929.0","","KGENGAEB_02596","IJIGFOAD_01597","AHOIKHHK_01180","FDKLAMFJ_01835","HLMLLCKC_01309","MEBKDNAM_00219","NCBEONCI_03458","FLBMOKII_00247"
"MEBKDNAM_00262","persistent","10 kDa chaperonin","8","8","1.0","NA","NA","","","","284","284","284.0","","KGENGAEB_03194","IJIGFOAD_01554","AHOIKHHK_01936","FDKLAMFJ_01792","HLMLLCKC_02096","MEBKDNAM_00262","NCBEONCI_01794","FLBMOKII_00291"
"MEBKDNAM_00294","persistent","Putative lipoprotein YerB","8","8","1.0","NA","NA","","","","1019","1019","1019.0","","KGENGAEB_02677","IJIGFOAD_01524","AHOIKHHK_01463","FDKLAMFJ_01760","HLMLLCKC_01648","MEBKDNAM_00294","NCBEONCI_02779","FLBMOKII_00324"
"MEBKDNAM_00326","persistent","Adaptive-response sensory-kinase SasA","8","8","1.0","NA","NA","","","","1373","1373","1373.0","","KGENGAEB_02708","IJIGFOAD_01493","AHOIKHHK_01967","FDKLAMFJ_01725","HLMLLCKC_01567","MEBKDNAM_00326","NCBEONCI_02748","FLBMOKII_00366"
"MEBKDNAM_00358","persistent","23S rRNA (uracil-C(5))-methyltransferase RlmCD","8","8","1.0","NA","NA","","","","1487","1493","1492.25","","KGENGAEB_02451","IJIGFOAD_01449","AHOIKHHK_02795","FDKLAMFJ_01691","HLMLLCKC_02478","MEBKDNAM_00358","NCBEONCI_02718","FLBMOKII_00408"
"MEBKDNAM_00390","persistent","Acetolactate synthase large subunit","8","8","1.0","NA","NA","","","","1640","1640","1640.0","","KGENGAEB_02418","IJIGFOAD_01416","AHOIKHHK_02441","FDKLAMFJ_01650","HLMLLCKC_00794","MEBKDNAM_00390","NCBEONCI_02679","FLBMOKII_00449"
"MEBKDNAM_00486","persistent","Transcriptional regulatory protein LiaR","8","8","1.0","NA","NA","","","","632","632","632.0","","KGENGAEB_02950","IJIGFOAD_01321","AHOIKHHK_03041","FDKLAMFJ_01533","HLMLLCKC_01412","MEBKDNAM_00486","NCBEONCI_01562","FLBMOKII_00560"
"MEBKDNAM_00518","persistent","Putative multidrug export ATP-binding/permease protein","8","10","1.25","NA","NA","","","","362","1742","1393.4","","KGENGAEB_02983" "KGENGAEB_02982","IJIGFOAD_01288" "IJIGFOAD_01289","AHOIKHHK_02307","FDKLAMFJ_01501","HLMLLCKC_01445","MEBKDNAM_00518","NCBEONCI_01530","FLBMOKII_00594"
"MEBKDNAM_00571","persistent","C4-dicarboxylate-binding periplasmic protein DctP","8","8","1.0","NA","NA","","","","1055","1055","1055.0","","KGENGAEB_02337","IJIGFOAD_01236","AHOIKHHK_02654","FDKLAMFJ_01434","HLMLLCKC_00131","MEBKDNAM_00571","NCBEONCI_01488","FLBMOKII_00664"
"MEBKDNAM_00603","persistent","Putative HMP/thiamine permease protein YkoC","8","8","1.0","NA","NA","","","","782","782","782.0","","KGENGAEB_02305","IJIGFOAD_01204","AHOIKHHK_00472","FDKLAMFJ_01402","HLMLLCKC_00163","MEBKDNAM_00603","NCBEONCI_01455","FLBMOKII_00696"
"MEBKDNAM_00635","persistent","Foldase protein PrsA 1","8","8","1.0","NA","NA","","","","836","836","836.0","","KGENGAEB_02273","IJIGFOAD_01172","AHOIKHHK_00504","FDKLAMFJ_01370","HLMLLCKC_00195","MEBKDNAM_00635","NCBEONCI_01423","FLBMOKII_00728"
"MEBKDNAM_00667","persistent","putative spore germination protein GerPC","8","8","1.0","NA","NA","","","","596","596","596.0","","KGENGAEB_02241","IJIGFOAD_01140","AHOIKHHK_01076","FDKLAMFJ_01338","HLMLLCKC_02502","MEBKDNAM_00667","NCBEONCI_01391","FLBMOKII_00760"
"MEBKDNAM_00699","persistent","hypothetical protein","6","6","1.0","NA","NA","","","","206","209","206.5","","","","AHOIKHHK_01046","FDKLAMFJ_01308","HLMLLCKC_02532","MEBKDNAM_00699","NCBEONCI_01360","FLBMOKII_00791"
"MEBKDNAM_00763","persistent","Dipeptide-binding protein DppE","8","8","1.0","NA","NA","","","","1649","1649","1649.0","","KGENGAEB_02506","IJIGFOAD_01044","AHOIKHHK_00978","FDKLAMFJ_01239","HLMLLCKC_02594","MEBKDNAM_00763","NCBEONCI_01294","FLBMOKII_00853"
"MEBKDNAM_00795","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","455","455","455.0","","KGENGAEB_02538","IJIGFOAD_01012","AHOIKHHK_00946","FDKLAMFJ_01207","HLMLLCKC_02627","MEBKDNAM_00795","NCBEONCI_01262","FLBMOKII_00885"
"MEBKDNAM_00828","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","683","683","683.0","","","","","","","MEBKDNAM_00828","",""
"MEBKDNAM_00860","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","137","137","137.0","","","","","","","MEBKDNAM_00860","",""
"MEBKDNAM_00892","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","425","425","425.0","","KGENGAEB_00036","IJIGFOAD_00946","AHOIKHHK_00206","FDKLAMFJ_01120","HLMLLCKC_01469","MEBKDNAM_00892","NCBEONCI_01199","FLBMOKII_00973"
"MEBKDNAM_00924","persistent","Acireductone dioxygenase","8","8","1.0","NA","NA","","","","542","542","542.0","","KGENGAEB_00069","IJIGFOAD_00913","AHOIKHHK_00238","FDKLAMFJ_01088","HLMLLCKC_01501","MEBKDNAM_00924","NCBEONCI_01167","FLBMOKII_01005"
"MEBKDNAM_00956","persistent","hypothetical protein","7","7","1.0","NA","NA","","","","128","128","128.0","","KGENGAEB_00102","IJIGFOAD_00880","AHOIKHHK_00293","FDKLAMFJ_01029","HLMLLCKC_01899","MEBKDNAM_00956","","FLBMOKII_01063"
"MEBKDNAM_00988","persistent","CBS domain-containing protein YkuL","8","8","1.0","NA","NA","","","","476","476","476.0","","KGENGAEB_00134","IJIGFOAD_00848","AHOIKHHK_00325","FDKLAMFJ_00997","HLMLLCKC_01867","MEBKDNAM_00988","NCBEONCI_01104","FLBMOKII_01095"
"MEBKDNAM_01020","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1331","1331","1331.0","","KGENGAEB_00166","IJIGFOAD_00816","AHOIKHHK_03015","FDKLAMFJ_00966","HLMLLCKC_01835","MEBKDNAM_01020","NCBEONCI_01073","FLBMOKII_01128"
"MEBKDNAM_01052","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","578","578","578.0","","KGENGAEB_00198","IJIGFOAD_00784","AHOIKHHK_00890","FDKLAMFJ_00934","HLMLLCKC_01803","MEBKDNAM_01052","NCBEONCI_01041","FLBMOKII_01160"
"MEBKDNAM_01084","persistent","Lipoprotein signal peptidase","8","8","1.0","NA","NA","","","","464","482","477.5","","KGENGAEB_00230","IJIGFOAD_00752","AHOIKHHK_02803","FDKLAMFJ_00892","HLMLLCKC_01771","MEBKDNAM_01084","NCBEONCI_01009","FLBMOKII_01193"
"MEBKDNAM_01116","persistent","putative protein","8","8","1.0","NA","NA","","","","362","362","362.0","","KGENGAEB_00262","IJIGFOAD_00720","AHOIKHHK_02835","FDKLAMFJ_00860","HLMLLCKC_01739","MEBKDNAM_01116","NCBEONCI_00977","FLBMOKII_01225"
"MEBKDNAM_01148","persistent","ATP-dependent protease subunit HslV","8","8","1.0","NA","NA","","","","542","542","542.0","","KGENGAEB_00293","IJIGFOAD_00689","AHOIKHHK_02866","FDKLAMFJ_00829","HLMLLCKC_01708","MEBKDNAM_01148","NCBEONCI_00945","FLBMOKII_01256"
"MEBKDNAM_01180","persistent","CheY-P phosphatase CheC","8","8","1.0","NA","NA","","","","632","632","632.0","","KGENGAEB_00324","IJIGFOAD_00658","AHOIKHHK_00529","FDKLAMFJ_00798","HLMLLCKC_02938","MEBKDNAM_01180","NCBEONCI_00914","FLBMOKII_01287"
"MEBKDNAM_01212","persistent","Aspartokinase 2","8","8","1.0","NA","NA","","","","1271","1271","1271.0","","KGENGAEB_00356","IJIGFOAD_00626","AHOIKHHK_00561","FDKLAMFJ_00766","HLMLLCKC_02970","MEBKDNAM_01212","NCBEONCI_00882","FLBMOKII_01319"
"MEBKDNAM_01244","persistent","Glycine betaine transporter OpuD","8","8","1.0","NA","NA","","","","1520","1520","1520.0","","KGENGAEB_00388","IJIGFOAD_00594","AHOIKHHK_01212","FDKLAMFJ_00734","HLMLLCKC_03002","MEBKDNAM_01244","NCBEONCI_00850","FLBMOKII_01351"
"MEBKDNAM_01276","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","476","476","476.0","","KGENGAEB_00420","IJIGFOAD_00562","AHOIKHHK_01243","FDKLAMFJ_00703","HLMLLCKC_03033","MEBKDNAM_01276","NCBEONCI_00819","FLBMOKII_01382"
"MEBKDNAM_01308","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1220","1220","1220.0","","KGENGAEB_00454","IJIGFOAD_00528","AHOIKHHK_02422","FDKLAMFJ_00667","HLMLLCKC_01917","MEBKDNAM_01308","NCBEONCI_00786","FLBMOKII_01416"
"MEBKDNAM_01341","persistent","Cadmium%2C cobalt and zinc/H(+)-K(+) antiporter","8","8","1.0","NA","NA","","","","926","926","926.0","","KGENGAEB_01245","IJIGFOAD_00494","AHOIKHHK_02971","FDKLAMFJ_00625","HLMLLCKC_01193","MEBKDNAM_01341","NCBEONCI_01888","FLBMOKII_01453"
"MEBKDNAM_01373","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","884","884","884.0","","KGENGAEB_01217","IJIGFOAD_00466","AHOIKHHK_01113","FDKLAMFJ_00591","HLMLLCKC_01150","MEBKDNAM_01373","NCBEONCI_01916","FLBMOKII_01481"
"MEBKDNAM_01469","persistent","putative ATP-dependent DNA helicase YoaA","8","8","1.0","NA","NA","","","","1937","1937","1937.0","","KGENGAEB_01118","IJIGFOAD_00367","AHOIKHHK_01529","FDKLAMFJ_00489","HLMLLCKC_01051","MEBKDNAM_01469","NCBEONCI_02037","FLBMOKII_01581"
"MEBKDNAM_01501","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","122","122","122.0","","KGENGAEB_01086","IJIGFOAD_00335","AHOIKHHK_01561","FDKLAMFJ_00457","HLMLLCKC_01020","MEBKDNAM_01501","NCBEONCI_02069","FLBMOKII_01615"
"MEBKDNAM_01565","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","887","887","887.0","","KGENGAEB_01022","IJIGFOAD_00271","AHOIKHHK_01626","FDKLAMFJ_00392","HLMLLCKC_00955","MEBKDNAM_01565","NCBEONCI_02134","FLBMOKII_01680"
"MEBKDNAM_01600","persistent","Queuosine precursor transporter QueT","8","8","1.0","NA","NA","","","","503","503","503.0","","KGENGAEB_00987","IJIGFOAD_00235","AHOIKHHK_01661","FDKLAMFJ_00357","HLMLLCKC_00920","MEBKDNAM_01600","NCBEONCI_02169","FLBMOKII_01715"
"MEBKDNAM_01632","persistent","Arsenical pump membrane protein","8","8","1.0","NA","NA","","","","1313","1334","1331.38","","KGENGAEB_00955","IJIGFOAD_00203","AHOIKHHK_01692","FDKLAMFJ_00326","HLMLLCKC_00888","MEBKDNAM_01632","NCBEONCI_02201","FLBMOKII_01747"
"MEBKDNAM_01664","cloud","hypothetical protein","1","1","1.0","NA","NA","","","","197","197","197.0","","","","","","","MEBKDNAM_01664","",""
"MEBKDNAM_01767","persistent","Thymidylate synthase","8","8","1.0","NA","NA","","","","854","854","854.0","","KGENGAEB_01966","IJIGFOAD_00095","AHOIKHHK_02221","FDKLAMFJ_00224","HLMLLCKC_03149","MEBKDNAM_01767","NCBEONCI_02340","FLBMOKII_01860"
"MEBKDNAM_01800","persistent","Glycerophosphodiester phosphodiesterase","8","8","1.0","NA","NA","","","","872","872","872.0","","KGENGAEB_01947","IJIGFOAD_00076","AHOIKHHK_02186","FDKLAMFJ_00189","HLMLLCKC_03116","MEBKDNAM_01800","NCBEONCI_02376","FLBMOKII_01895"
"KGENGAEB_00638","persistent","50S ribosomal protein L35","8","8","1.0","NA","NA","","","","200","200","200.0","","KGENGAEB_00638","IJIGFOAD_02615","AHOIKHHK_00139","FDKLAMFJ_02896","HLMLLCKC_00341","MEBKDNAM_02758","NCBEONCI_00587","FLBMOKII_02827"
"KGENGAEB_00670","persistent","Putative aliphatic sulfonates-binding protein","8","8","1.0","NA","NA","","","","980","980","980.0","","KGENGAEB_00670","IJIGFOAD_02647","AHOIKHHK_00107","FDKLAMFJ_02928","HLMLLCKC_02343","MEBKDNAM_02726","NCBEONCI_00555","FLBMOKII_02795"
"KGENGAEB_00702","persistent","Glutamyl-tRNA reductase","8","8","1.0","NA","NA","","","","1367","1367","1367.0","","KGENGAEB_00702","IJIGFOAD_02679","AHOIKHHK_00076","FDKLAMFJ_02959","HLMLLCKC_02312","MEBKDNAM_02695","NCBEONCI_00523","FLBMOKII_02764"
"KGENGAEB_00734","persistent","Septum site-determining protein MinC","8","8","1.0","NA","NA","","","","692","692","692.0","","KGENGAEB_00734","IJIGFOAD_02711","AHOIKHHK_00044","FDKLAMFJ_02991","HLMLLCKC_02280","MEBKDNAM_02663","NCBEONCI_00491","FLBMOKII_02732"
"KGENGAEB_00766","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","122","122","122.0","","KGENGAEB_00766","IJIGFOAD_02743","AHOIKHHK_00012","FDKLAMFJ_03023","HLMLLCKC_02248","MEBKDNAM_02631","NCBEONCI_00459","FLBMOKII_02700"
"KGENGAEB_00798","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1271","1271","1271.0","","KGENGAEB_00798","IJIGFOAD_02775","AHOIKHHK_02598","FDKLAMFJ_03055","HLMLLCKC_02217","MEBKDNAM_02600","NCBEONCI_00428","FLBMOKII_02666"
"KGENGAEB_00830","persistent","putative protein YqeN","8","8","1.0","NA","NA","","","","1019","1019","1019.0","","KGENGAEB_00830","IJIGFOAD_02807","AHOIKHHK_02566","FDKLAMFJ_03087","HLMLLCKC_02185","MEBKDNAM_02568","NCBEONCI_00396","FLBMOKII_02634"
"KGENGAEB_00862","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","305","515","488.75","","KGENGAEB_00862","IJIGFOAD_02839","AHOIKHHK_02534","FDKLAMFJ_03121","HLMLLCKC_01365","MEBKDNAM_02536","NCBEONCI_00364","FLBMOKII_02600"
"KGENGAEB_00894","persistent","Pyrimidine 5'-nucleotidase YjjG","8","8","1.0","NA","NA","","","","737","737","737.0","","KGENGAEB_00894","IJIGFOAD_02871","AHOIKHHK_02502","FDKLAMFJ_03153","HLMLLCKC_01397","MEBKDNAM_02504","NCBEONCI_00332","FLBMOKII_02568"
"KGENGAEB_00926","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","632","632","632.0","","KGENGAEB_00926","IJIGFOAD_00174","AHOIKHHK_01776","FDKLAMFJ_00294","HLMLLCKC_00858","MEBKDNAM_01665","NCBEONCI_02232","FLBMOKII_01785"
"KGENGAEB_00958","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","188","188","188.0","","KGENGAEB_00958","IJIGFOAD_00206","AHOIKHHK_01689","FDKLAMFJ_00329","HLMLLCKC_00891","MEBKDNAM_01629","NCBEONCI_02198","FLBMOKII_01744"
"KGENGAEB_00990","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","1199","1199","1199.0","","KGENGAEB_00990","IJIGFOAD_00238","AHOIKHHK_01658","FDKLAMFJ_00360","HLMLLCKC_00923","MEBKDNAM_01597","NCBEONCI_02166","FLBMOKII_01712"
"KGENGAEB_01024","persistent","hypothetical protein","6","6","1.0","NA","NA","","","","152","152","152.0","","KGENGAEB_01024","IJIGFOAD_00273","AHOIKHHK_01624","FDKLAMFJ_00394","HLMLLCKC_00957","","NCBEONCI_02132",""
"KGENGAEB_01056","persistent","Biotin/lipoyl attachment protein","8","8","1.0","NA","NA","","","","212","212","212.0","","KGENGAEB_01056","IJIGFOAD_00305","AHOIKHHK_01592","FDKLAMFJ_00426","HLMLLCKC_00989","MEBKDNAM_01532","NCBEONCI_02100","FLBMOKII_01646"
"KGENGAEB_01088","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","218","218","218.0","","KGENGAEB_01088","IJIGFOAD_00337","AHOIKHHK_01559","FDKLAMFJ_00459","HLMLLCKC_01022","MEBKDNAM_01499","NCBEONCI_02067","FLBMOKII_01613"
"KGENGAEB_01120","persistent","Cell cycle protein GpsB","8","8","1.0","NA","NA","","","","296","296","296.0","","KGENGAEB_01120","IJIGFOAD_00369","AHOIKHHK_01527","FDKLAMFJ_00491","HLMLLCKC_01053","MEBKDNAM_01467","NCBEONCI_02035","FLBMOKII_01579"
"KGENGAEB_01152","persistent","Hydroxyethylthiazole kinase","8","8","1.0","NA","NA","","","","809","809","809.0","","KGENGAEB_01152","IJIGFOAD_00401","AHOIKHHK_02286","FDKLAMFJ_00523","HLMLLCKC_01085","MEBKDNAM_01436","NCBEONCI_02003","FLBMOKII_01547"
"KGENGAEB_01184","persistent","Fe(2+) transporter FeoB","8","8","1.0","NA","NA","","","","734","734","734.0","","KGENGAEB_01184","IJIGFOAD_00433","AHOIKHHK_01989","FDKLAMFJ_00556","HLMLLCKC_01117","MEBKDNAM_01404","NCBEONCI_01949","FLBMOKII_01514"
"KGENGAEB_01248","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","482","482","482.0","","KGENGAEB_01248","IJIGFOAD_00497","AHOIKHHK_02968","FDKLAMFJ_00628","HLMLLCKC_01196","MEBKDNAM_01338","NCBEONCI_01885","FLBMOKII_01450"
"KGENGAEB_01280","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","185","185","185.0","","KGENGAEB_01280","IJIGFOAD_03232","AHOIKHHK_02488","FDKLAMFJ_03435","HLMLLCKC_00505","MEBKDNAM_02213","NCBEONCI_00020","FLBMOKII_02287"
"KGENGAEB_01312","persistent","Cytochrome b6-f complex iron-sulfur subunit","8","8","1.0","NA","NA","","","","509","509","509.0","","KGENGAEB_01312","IJIGFOAD_03200","AHOIKHHK_00825","FDKLAMFJ_03400","HLMLLCKC_00537","MEBKDNAM_02245","NCBEONCI_00052","FLBMOKII_02319"
"KGENGAEB_01344","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","134","134","134.0","","KGENGAEB_01344","IJIGFOAD_03168","AHOIKHHK_00857","FDKLAMFJ_03368","HLMLLCKC_00569","MEBKDNAM_02277","NCBEONCI_00084","FLBMOKII_02351"
"KGENGAEB_01376","persistent","hypothetical protein","8","8","1.0","NA","NA","","","","812","812","812.0","","KGENGAEB_01376","IJIGFOAD_03136","AHOIKHHK_03124","FDKLAMFJ_03334","HLMLLCKC_00299","MEBKDNAM_02307","NCBEONCI_00116","FLBMOKII_02383"
"KGENGAEB_01408","persistent","Segregation and condensation protein B","8","8","1.0","NA","NA","","","","629","629","629.0","","KGENGAEB_01408","IJIGFOAD_03104","AHOIKHHK_03092","FDKLAMFJ_03302","HLMLLCKC_00267","MEBKDNAM_02339","NCBEONCI_00148","FLBMOKII_02415"
"KGENGAEB_01440","persistent","putative transporter YycB","8","8","1.0","NA","NA","","","","1199","1199","1199.0","","KGENGAEB_01440","IJIGFOAD_03072","AHOIKHHK_03060","FDKLAMFJ_03270","HLMLLCKC_00235","MEBKDNAM_02372","NCBEONCI_00180","FLBMOKII_02448"
"KGENGAEB_01504","persistent","Stage 0 sporulation protein A","8","8","1.0","NA","NA","","","","779","779","779.0","","KGENGAEB_01504","IJIGFOAD_03008","AHOIKHHK_00393","FDKLAMFJ_03221","HLMLLCKC_00633","MEBKDNAM_02436","NCBEONCI_00265","FLBMOKII_02496"
"KGENGAEB_01536","persistent","Proton/glutamate-aspartate symporter","8","8","1.0","NA","NA","","","","1232","1232","1232.0","","KGENGAEB_01536","IJIGFOAD_02976","AHOIKHHK_00361","FDKLAMFJ_03189","HLMLLCKC_00601","MEBKDNAM_02469","NCBEONCI_00297","FLBMOKII_02530"
